ALGORITHM EXECUTION TIMES IN SECONDS for: 1, 2, 6, 12, 24, 48, 60, 
Alg 	Amount 	time1 	time2 	time3 	time4 	time5 	time6 	time7 	time8 	time9 	time10 	AvgTime (ms)
greedy	2	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000258
greedy	3	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000232
greedy	4	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000233
greedy	5	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000218
greedy	6	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000223
greedy	7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000228
greedy	8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000235
greedy	9	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000239
greedy	10	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000219
greedy	11	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000221
greedy	12	0.000003	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000477
greedy	13	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000236
greedy	14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000245
greedy	15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000225
greedy	16	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000232
greedy	17	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000236
greedy	18	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000238
dynamic	1	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000323
dynamic	2	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000337
dynamic	3	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000360
dynamic	4	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000396
dynamic	5	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000398
dynamic	6	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000002	0.000000	0.000644
dynamic	7	0.000001	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000483
dynamic	8	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000533
dynamic	9	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000589
dynamic	10	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000593
dynamic	11	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000643
dynamic	12	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000702
dynamic	13	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000752
dynamic	14	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000796
dynamic	15	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000807
dynamic	16	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000848
dynamic	17	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000901
dynamic	18	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000945


ALGORITHM EXECUTION TIMES IN SECONDS for: 1, 6, 13, 37, 150, 
Alg 	Amount 	time1 	time2 	time3 	time4 	time5 	time6 	time7 	time8 	time9 	time10 	AvgTime (ms)
naive	1	0.000001	0.000005	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000854
naive	2	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000000	0.000000	0.000001	0.000001	0.000552
naive	3	0.000001	0.000003	0.000001	0.000001	0.000001	0.000001	0.000001	0.000003	0.000001	0.000001	0.001529
naive	4	0.000003	0.000005	0.000003	0.000005	0.000003	0.000005	0.000003	0.000004	0.000003	0.000005	0.003901
naive	5	0.000011	0.000014	0.000011	0.000013	0.000011	0.000012	0.000016	0.000012	0.000011	0.000012	0.012149
naive	6	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000268
naive	7	0.000033	0.000038	0.000033	0.000036	0.000033	0.000034	0.000033	0.000035	0.000033	0.000035	0.034209
naive	8	0.000102	0.000099	0.000105	0.000099	0.000104	0.000103	0.000101	0.000104	0.000099	0.000104	0.102046
naive	9	0.000302	0.000304	0.000306	0.000302	0.000302	0.000309	0.000302	0.000302	0.000305	0.000306	0.303956
naive	10	0.000913	0.000914	0.000912	0.000915	0.000914	0.000912	0.000908	0.000914	0.000915	0.000915	0.913245
naive	11	0.002743	0.002741	0.002735	0.002739	0.002731	0.002736	0.002740	0.002743	0.002738	0.002754	2.740223
naive	12	0.008285	0.008231	0.008233	0.008249	0.008247	0.008251	0.008236	0.008241	0.008240	0.008405	8.261838
naive	13	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000282
naive	14	0.024820	0.024864	0.024883	0.024695	0.024676	0.025443	0.024631	0.024714	0.024743	0.024739	24.820926
naive	15	0.074077	0.074228	0.074172	0.074269	0.074004	0.073899	0.073990	0.075193	0.074044	0.074318	74.219288
naive	16	0.222859	0.222190	0.223413	0.221782	0.222359	0.223068	0.222542	0.222560	0.223819	0.222129	222.672112
naive	17	0.668434	0.669983	0.664885	0.666248	0.666792	0.667025	0.670934	0.651000	0.651192	0.660438	663.693161
naive	18	2.000305	2.024302	2.029494	2.148988	2.172553	2.138076	2.152193	2.137289	2.136639	2.132992	2107.283053
greedy	1	0.000002	0.000001	0.000001	0.000000	0.000000	0.000004	0.000000	0.000000	0.000000	0.000000	0.000885
greedy	2	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000263
greedy	3	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000247
